time,delk1,delk2,delwb,emdx,k2vk3,k3,milliseconds,viored
1982-04-20,0.642467,0.36335,1.5839,0.0943314,1.5407,0.0696809,388108800000,1.26153
1982-04-25,0.692461,0.35772,1.60264,0.0977606,1.49938,0.0748647,388540800000,1.16141
1982-04-28,0.624901,0.365464,1.57718,0.0949681,1.48681,0.0706638,388800000000,1.24074
1982-05-03,0.694777,0.369369,1.60838,0.0945601,1.49644,0.0716351,389232000000,1.23355
1982-05-06,0.662195,0.350858,1.58701,0.0947285,1.49258,0.0723179,389491200000,1.27954
1982-05-17,0.660652,0.364673,1.59224,0.0949748,1.49779,0.0712204,390441600000,1.24571
1982-05-18,0.6548,0.362236,1.58872,0.0978499,1.46484,0.0756551,390528000000,1.22783
1982-05-19,0.688111,0.352087,1.5985,0.0972336,1.49199,0.0745326,390614400000,1.25724
1982-05-20,0.66674,0.351072,1.58905,0.0966707,1.49311,0.0742331,390700800000,1.22822
1982-05-21,0.665754,0.356776,1.59106,0.0971627,1.47943,0.0752892,390787200000,1.22702
1982-05-23,0.687661,0.361423,1.60219,0.0961686,1.50039,0.0732005,390960000000,1.21082
1982-05-24,0.679119,0.363158,1.59936,0.0949804,1.50906,0.0721287,391046400000,1.22968
1982-05-25,0.673265,0.359824,1.59552,0.0949278,1.48508,0.0716315,391132800000,1.18075
1982-05-26,0.637941,0.369389,1.58455,0.0966489,1.49598,0.0724969,391219200000,1.23619
1982-05-28,0.620495,0.367568,1.57617,0.0935185,1.50472,0.0696806,391392000000,1.22637
1982-05-29,0.641281,0.364964,1.58408,0.0947405,1.51603,0.0699874,391478400000,1.2756
1982-06-01,0.631491,0.375118,1.58424,0.093922,1.53809,0.0687522,391737600000,1.23842
1982-06-02,0.622979,0.370609,1.57859,0.0955105,1.48959,0.0715985,391824000000,1.23384
1982-06-03,0.639857,0.381797,1.59068,0.0934059,1.50295,0.0702775,391910400000,1.23548
1982-06-04,0.666558,0.362959,1.59401,0.0947269,1.50023,0.0714745,391996800000,1.26672
1982-06-05,0.642727,0.361379,1.58316,0.0941906,1.50706,0.071036,392083200000,1.25339
1982-06-06,0.623902,0.372553,1.57984,0.0947242,1.52618,0.0705276,392169600000,1.28433
1982-06-07,0.647835,0.363854,1.58643,0.0939146,1.51834,0.0702468,392256000000,1.27071
1982-06-14,0.672388,0.357709,1.59426,0.0974498,1.50191,0.0749215,392860800000,1.31623
1982-06-15,0.685615,0.360495,1.60096,0.0953884,1.50363,0.0717278,392947200000,1.21127
1982-06-21,0.642025,0.356259,1.58064,0.0971469,1.45907,0.075284,393465600000,1.20108
1982-06-22,0.686837,0.347355,1.59598,0.0966944,1.47936,0.0741778,393552000000,1.1917
1982-06-23,0.663696,0.363399,1.59299,0.0961781,1.5257,0.0720146,393638400000,1.23759
1982-06-24,0.660135,0.365947,1.59256,0.0933051,1.54748,0.068359,393724800000,1.21188
1982-06-25,0.643023,0.372683,1.58815,0.0934337,1.5363,0.0683979,393811200000,1.24157
1982-06-26,0.601188,0.384957,1.57532,0.0919144,1.49225,0.0685776,393897600000,1.25383
1982-06-27,0.626572,0.369005,1.57946,0.0912831,1.5533,0.0660261,393984000000,1.23849
1982-06-28,0.625509,0.373709,1.58104,0.0929193,1.52758,0.0682005,394070400000,1.2537
1982-07-02,0.652267,0.373906,1.5926,0.0931345,1.52006,0.068582,394416000000,1.23989
1982-07-03,0.637285,0.375051,1.58671,0.0919763,1.51852,0.0676993,394502400000,1.22689
1982-07-04,0.652909,0.370467,1.59142,0.0934514,1.53425,0.0679678,394588800000,1.18151
1982-07-06,0.633914,0.37408,1.58484,0.0937528,1.54851,0.0687846,394761600000,1.25908
1982-11-06,0.626574,0.364838,1.57763,0.0969261,1.46976,0.0742448,405388800000,1.18079
1982-11-13,0.636778,0.351658,1.57633,0.096613,1.51643,0.0719507,405993600000,1.24021
1983-01-08,0.667942,0.342662,1.58596,0.0970619,1.49468,0.0747002,410832000000,1.18878
1983-01-09,0.721342,0.366698,1.61803,0.0982696,1.47797,0.0760054,410918400000,1.19597
1983-01-12,0.654434,0.353149,1.58466,0.0957486,1.51079,0.0719112,411177600000,1.20541
1983-01-13,0.668223,0.365138,1.59563,0.0966021,1.5263,0.0725973,411264000000,1.25084
1983-01-24,0.709937,0.366296,1.61329,0.0947235,1.52991,0.0687385,412214400000,1.18436
1983-01-26,0.645802,0.372602,1.5893,0.0948488,1.55256,0.0691484,412387200000,1.18507
1983-02-15,0.621748,0.383523,1.58366,0.0915907,1.51878,0.067295,414115200000,1.22877
1983-02-17,0.654427,0.414272,1.61024,0.0896261,1.48587,0.0661354,414288000000,1.28516
1983-02-18,0.629717,0.407418,1.59722,0.0904459,1.49151,0.0673018,414374400000,1.34156
1983-02-21,0.620567,0.398595,1.58962,0.0903348,1.49039,0.0667629,414633600000,1.33762
1983-02-22,0.64517,0.430801,1.61318,0.092294,1.44721,0.0699008,414720000000,1.30957
1983-02-27,0.696971,0.392113,1.61844,0.0915497,1.4486,0.0688753,415152000000,1.14463
1983-03-09,0.620084,0.395685,1.58818,0.0885498,1.54003,0.0624544,416016000000,1.17936
1983-03-10,0.597888,0.419045,1.58867,0.088124,1.58085,0.0618961,416102400000,1.2833
1983-03-16,0.712634,0.561027,1.68643,0.0887564,1.5727,0.0632442,416620800000,1.20956
1983-03-17,0.66147,0.398846,1.60682,0.0870744,1.53797,0.0631134,416707200000,1.28536
1983-03-24,0.634948,0.39069,1.59237,0.0895548,1.58555,0.0637218,417312000000,1.24738
1983-03-29,0.602915,0.38053,1.57413,0.0911515,1.55433,0.066305,417744000000,1.41784
1983-03-30,0.699439,0.416136,1.62888,0.0874268,1.508,0.0630981,417830400000,1.17181
1983-04-02,0.649641,0.407675,1.60559,0.0877321,1.54262,0.0624703,418089600000,1.14379
1983-04-10,0.653039,0.404924,1.60585,0.0885455,1.5724,0.0626526,418780800000,1.17653
1983-04-16,0.610438,0.386881,1.58021,0.0903434,1.52508,0.0661208,419299200000,1.26472
1983-04-17,0.627878,0.38314,1.58614,0.0879131,1.55216,0.0632036,419385600000,1.19996
1983-04-18,0.652372,0.383916,1.59686,0.0901156,1.56316,0.0647471,419472000000,1.29475
1983-04-19,0.591735,0.385913,1.57156,0.0880742,1.57589,0.0621696,419558400000,1.22301
1983-04-21,0.65018,0.388879,1.59802,0.0885503,1.57952,0.0632902,419731200000,1.30711
1983-04-24,0.687421,0.394378,1.61553,0.0905139,1.50136,0.0670861,419990400000,1.25276
1983-04-26,0.659875,0.37787,1.59747,0.0920047,1.48785,0.0688613,420163200000,1.25542
